,Science/Culture & Education Service,Transportation Service,Governmental Organization & Social Group,Medical Service,Residential Area,Accommodation Service,Industrial Park & Business Office Building
Yuanling(Street),256,267,103,90,25,19,38
Pinghu(Street),662,900,462,876,187,550,339
Xili(Street),472,900,323,421,174,479,338
Lianhua(Street),419,812,270,286,139,162,69
Baolong(Street),454,872,352,534,185,295,287
Dalang(Street),530,900,515,690,208,701,477
Huafu(Street),16,63,62,26,11,3,10
Guanlan(Street),334,801,470,345,188,259,358
Nanao(Street),45,232,211,21,27,890,9
Guiyuan(Street),238,446,210,219,75,391,52
Shijing(Street),7,23,25,3,3,29,4
Nanhu(Street),249,862,271,440,91,619,205
Nanshan(Street),377,867,214,313,142,475,115
Xixiang(Street),897,900,703,886,550,891,771
Haishan(Street),3,5,6,2,2,1,4
Minzhi(Street),898,898,491,886,337,892,274
Sungang(Street),74,199,72,72,63,62,18
Guanhu(Street),373,794,373,359,153,188,244
Guangming(Street),226,415,288,200,76,75,90
Henggang(Street),565,696,325,683,134,453,176
Fucheng(Street),321,694,359,409,179,404,264
Fuhai(Street),487,900,324,650,207,891,432
Yuehai(Street),896,900,620,891,322,884,525
Longcheng(Street),899,900,743,888,351,876,311
Huangbei(Street),300,573,267,200,152,100,40
Songgang(Street),627,900,450,815,254,541,509
Maluan(Street),160,233,135,122,39,53,25
Taoyuan(Street),625,849,236,314,145,250,131
Nanwan(Street),618,891,421,652,206,347,290
Pingdi(Street),267,408,460,345,104,207,179
Hangcheng(Street),406,776,257,441,135,408,267
Pingshan(Street),245,289,164,255,57,137,48
Nantou(Street),588,896,469,496,192,392,122
Yutang(Street),173,396,204,290,89,289,170
Zhaoshang(Street),466,897,226,326,175,213,170
Xiangmihu(Street),302,612,134,161,87,66,30
Longgang(Street),865,900,557,883,254,846,328
Dongxiao(Street),166,314,134,135,69,57,47
Cuizhu(Street),258,588,222,312,103,154,69
Yantian(Street),7,41,3,0,7,44,1
Shiyan(Street),595,900,465,717,243,624,610
Xinqiao(Street),585,899,381,737,245,500,392
Shatoujiao(Street),1,0,1,0,0,0,0
Buji(Street),829,897,368,856,415,457,167
Donghu(Street),265,270,145,141,67,74,39
Meilin(Street),400,897,272,449,166,259,92
Matian(Street),415,698,253,585,207,462,401
Yanluo(Street),146,323,196,232,101,186,210
Huaqiangbei(Street),248,398,137,111,37,140,118
Xinan(Street),898,899,897,878,497,888,466
Jihua(Street),364,402,218,328,119,141,124
Shajing(Street),729,900,484,882,297,725,446
Kuiyong(Street),145,266,278,127,78,499,41
Dapeng(Street),161,356,259,82,83,889,27
Shekou(Street),268,463,186,339,116,214,36
Shatou(Street),763,898,535,720,222,745,246
Qingshuihe(Street),103,402,154,97,95,66,47
Bantian(Street),893,900,450,888,357,892,599
Liantang(Street),199,358,115,163,96,63,46
Nanyuan(Street),48,107,90,75,38,46,18
Kengzi(Street),152,249,223,225,57,102,91
Xinhu(Street),139,324,120,133,58,99,129
Meisha(Street),48,201,99,26,34,499,6
Gongming(Street),281,643,258,438,144,345,284
Fuyong(Street),409,838,385,596,210,592,281
Longhua(Street),892,900,675,890,334,892,550
Yuanshan(Street),293,521,268,362,88,324,201
Dongmen(Street),74,199,134,81,49,76,25
Futian(Street),488,897,391,631,158,696,182
Fenghuang(Street),161,402,174,206,69,153,123
Longtian(Street),73,71,95,77,14,23,33
Biling(Street),84,175,158,119,33,55,48
