,street_name,street_polygon,user_distribution,organizer_distribution
1,Guiyuan(Street),"114.104449 22.555883,114.108996 22.555743,114.115406 22.556012,114.114693 22.55272,114.114525 22.550356,114.115405 22.542376,114.113729 22.542105,114.113478 22.538618,114.112724 22.537108,114.111885 22.536062,114.110712 22.534939,114.109497 22.533312,114.108568 22.53255,114.104853 22.531709,114.104714 22.540844,114.104699 22.541968,114.104573 22.548841",0.007941119037229721,0.006013986013986014
2,Huangbei(Street),"114.156935 22.551751,114.156772 22.550654,114.156889 22.550294,114.156672 22.549599,114.156781 22.548853,114.156075 22.547992,114.155505 22.548093,114.154927 22.547767,114.154537 22.545566,114.154645 22.544552,114.154827 22.544292,114.156074 22.544206,114.156165 22.544449,114.155694 22.544852,114.155713 22.545095,114.156545 22.545353,114.156934 22.544975,114.156979 22.54428,114.156753 22.543795,114.156319 22.54341,114.155405 22.543311,114.153723 22.541346,114.153307 22.540358,114.153705 22.539554,114.15365 22.539186,114.153406 22.538884,114.149896 22.538245,114.149525 22.538363,114.149418 22.538933,114.149091 22.53926,114.147617 22.539321,114.147292 22.539179,114.146369 22.539984,114.145319 22.540053,114.143529 22.540692,114.142967 22.54071,114.141972 22.54046,114.141194 22.540042,114.139873 22.539006,114.139222 22.538755,114.138624 22.538723,114.135982 22.539195,114.135348 22.539028,114.133955 22.537338,114.133394 22.53687,114.132615 22.536519,114.132113 22.539031,114.131359 22.539767,114.131108 22.540311,114.131066 22.54523,114.130815 22.550269,114.131234 22.550501,114.136885 22.55921,114.139773 22.562693,114.141238 22.564201,114.142159 22.564781,114.142368 22.566098,114.142787 22.567223,114.143373 22.569973,114.143415 22.57129,114.144922 22.574541,114.145759 22.577987,114.146721 22.577714,114.147265 22.577172,114.148353 22.576512,114.146888 22.57601,114.146219 22.575469,114.147349 22.574073,114.147139 22.57233,114.14806 22.571903,114.148185 22.570507,114.14785 22.569269,114.14898 22.568686,114.154795 22.567127,114.155716 22.565847,114.157933 22.565805,114.158017 22.566307,114.157556 22.567199,114.157054 22.567742,114.15718 22.568633,114.1581 22.569484,114.161531 22.567928,114.160234 22.566847,114.16015 22.565569,114.158686 22.563634,114.158393 22.561426,114.157431 22.560344,114.156468 22.558718,114.155548 22.556202,114.155589 22.554614,114.156719 22.552713",0.012953136790235366,0.006643356643356644
3,Dongmen(Street),"114.131066 22.54523,114.126252 22.544461,114.118629 22.542839,114.115405 22.542376,114.114525 22.550356,114.114693 22.55272,114.115406 22.556012,114.123363 22.556164,114.124703 22.556704,114.125415 22.556821,114.126127 22.555696,114.127843 22.553564,114.130815 22.550269",0.006815283399589684,0.00520979020979021
4,Cuizhu(Street),"114.130815 22.550269,114.127843 22.553564,114.126127 22.555696,114.125415 22.556821,114.124369 22.558836,114.123615 22.560773,114.122945 22.565461,114.12282 22.567591,114.122904 22.572084,114.121941 22.573866,114.128053 22.57394,114.1345 22.57494,114.136342 22.574938,114.137304 22.574548,114.136886 22.573039,114.136677 22.571218,114.136049 22.569941,114.135881 22.568663,114.137095 22.568545,114.142368 22.566098,114.142159 22.564781,114.141238 22.564201,114.139773 22.562693,114.136885 22.55921,114.131234 22.550501",0.010696643949055335,0.006363636363636364
5,Nanhu(Street),"114.132615 22.536519,114.132055 22.536586,114.131313 22.536956,114.130733 22.53699,114.129937 22.536656,114.127692 22.535318,114.125447 22.532406,114.124795 22.532105,114.122948 22.531804,114.121717 22.531269,114.121463 22.5308,114.121138 22.529192,114.120811 22.528624,114.120051 22.528088,114.117806 22.526983,114.117045 22.526817,114.115487 22.527354,114.114763 22.52799,114.114183 22.528829,114.113712 22.530035,114.113206 22.530604,114.110633 22.531945,114.108568 22.53255,114.109497 22.533312,114.110712 22.534939,114.111885 22.536062,114.112724 22.537108,114.113478 22.538618,114.113729 22.542105,114.115405 22.542376,114.118629 22.542839,114.126252 22.544461,114.131066 22.54523,114.131108 22.540311,114.131359 22.539767,114.132113 22.539031",0.006882785322189088,0.004650349650349651
6,Sungang(Street),"114.125415 22.556821,114.124703 22.556704,114.123363 22.556164,114.115406 22.556012,114.108996 22.555743,114.104449 22.555883,114.104212 22.567406,114.114695 22.573523,114.115951 22.573793,114.117249 22.573808,114.121941 22.573866,114.122904 22.572084,114.12282 22.567591,114.122945 22.565461,114.123615 22.560773,114.124369 22.558836",0.00754575063343322,0.0077622377622377624
7,Donghu(Street),"114.203627 22.570013,114.202442 22.568902,114.201145 22.568246,114.198718 22.56732,114.197762 22.568262,114.195914 22.569514,114.193684 22.569258,114.190388 22.571618,114.190854 22.572601,114.190526 22.573348,114.190956 22.577261,114.190356 22.580635,114.188277 22.581132,114.187278 22.584575,114.185908 22.585834,114.183037 22.58602,114.180479 22.586662,114.179254 22.58905,114.178537 22.58904,114.177277 22.58782,114.176087 22.587353,114.173481 22.585439,114.173489 22.584838,114.174209 22.584622,114.174459 22.583724,114.173992 22.582741,114.17385 22.581311,114.175214 22.580653,114.175399 22.578552,114.174084 22.575302,114.172911 22.573558,114.170207 22.57307,114.168782 22.572374,114.168301 22.572517,114.165194 22.5724,114.164335 22.571111,114.164188 22.570057,114.163401 22.569219,114.163455 22.568742,114.161991 22.568745,114.161531 22.567928,114.1581 22.569484,114.15718 22.568633,114.157054 22.567742,114.157556 22.567199,114.158017 22.566307,114.157933 22.565805,114.155716 22.565847,114.154795 22.567127,114.14898 22.568686,114.14785 22.569269,114.148185 22.570507,114.14806 22.571903,114.147139 22.57233,114.147349 22.574073,114.146219 22.575469,114.146888 22.57601,114.148353 22.576512,114.147265 22.577172,114.146721 22.577714,114.145759 22.577987,114.144922 22.574541,114.143415 22.57129,114.143373 22.569973,114.142787 22.567223,114.142368 22.566098,114.137095 22.568545,114.135881 22.568663,114.136049 22.569941,114.136677 22.571218,114.136886 22.573039,114.137304 22.574548,114.13764 22.57606,114.137974 22.579468,114.137976 22.583806,114.135004 22.583964,114.133455 22.584663,114.131822 22.585672,114.130976 22.586696,114.132254 22.58678,114.133989 22.588214,114.13746 22.588717,114.139468 22.589221,114.140381 22.590825,114.142299 22.591583,114.144947 22.591495,114.146316 22.593436,114.14586 22.595549,114.147686 22.596982,114.148781 22.597318,114.150607 22.599765,114.155718 22.601785,114.158273 22.601442,114.160372 22.601439,114.16092 22.603634,114.161742 22.605322,114.162745 22.605574,114.165666 22.608525,114.1674 22.609536,114.170959 22.610374,114.172966 22.610371,114.173788 22.611129,114.173879 22.611804,114.175248 22.61214,114.175978 22.614504,114.177073 22.614925,114.177347 22.615768,114.179355 22.615004,114.180085 22.616101,114.181088 22.615424,114.181727 22.615845,114.18337 22.614828,114.184921 22.615163,114.18848 22.61541,114.192313 22.616501,114.192952 22.614895,114.1935 22.614134,114.196876 22.613621,114.19715 22.611339,114.199523 22.609815,114.200345 22.607194,114.199158 22.605929,114.198975 22.602888,114.203083 22.601275,114.203996 22.601359,114.205455 22.602033,114.207555 22.601437,114.209655 22.598816,114.211846 22.599404,114.213763 22.59957,114.214128 22.598471,114.214037 22.595599,114.217142 22.592045,114.217872 22.589679,114.219241 22.589255,114.219241 22.586382,114.219698 22.584269,114.218785 22.582327,114.218784 22.580384,114.219698 22.578777,114.219971 22.577678,114.21851 22.576497,114.217871 22.575737,114.216136 22.574642,114.215405 22.573881,114.211845 22.574055,114.210657 22.573719,114.208831 22.572455,114.207827 22.572878,114.20518 22.570686",0.006166782786045424,0.0046853146853146855
8,Liantang(Street),"114.161531 22.567928,114.161991 22.568745,114.163455 22.568742,114.163401 22.569219,114.164188 22.570057,114.164335 22.571111,114.165194 22.5724,114.168301 22.572517,114.168782 22.572374,114.170207 22.57307,114.172911 22.573558,114.174084 22.575302,114.175399 22.578552,114.175214 22.580653,114.17385 22.581311,114.173992 22.582741,114.174459 22.583724,114.174209 22.584622,114.173489 22.584838,114.173481 22.585439,114.176087 22.587353,114.177277 22.58782,114.178537 22.58904,114.179254 22.58905,114.180479 22.586662,114.183037 22.58602,114.185908 22.585834,114.187278 22.584575,114.188277 22.581132,114.190356 22.580635,114.190956 22.577261,114.190526 22.573348,114.190854 22.572601,114.190388 22.571618,114.193684 22.569258,114.195914 22.569514,114.197762 22.568262,114.198718 22.56732,114.201145 22.568246,114.202442 22.568902,114.203627 22.570013,114.203719 22.568068,114.206367 22.563417,114.20737 22.561979,114.20737 22.56012,114.206457 22.558515,114.204723 22.557082,114.204609 22.556474,114.202916 22.555785,114.202828 22.555557,114.203022 22.554947,114.202934 22.554485,114.202403 22.554256,114.201517 22.554444,114.201238 22.55419,114.201031 22.553897,114.201085 22.553135,114.200804 22.552742,114.200217 22.552752,114.199737 22.55245,114.19857 22.552427,114.196961 22.553,114.196092 22.552549,114.19574 22.552189,114.19554 22.551638,114.195079 22.551345,114.194057 22.551288,114.193731 22.55144,114.192863 22.55232,114.192555 22.552304,114.191714 22.55166,114.191407 22.551653,114.186849 22.552473,114.186216 22.552149,114.186071 22.551303,114.185809 22.55106,114.182636 22.552632,114.182445 22.555698,114.182256 22.55646,114.181867 22.556896,114.180167 22.557117,114.179163 22.5566,114.178557 22.556484,114.177019 22.556788,114.175618 22.556733,114.174867 22.557203,114.174 22.558201,114.172987 22.558387,114.172218 22.558213,114.171242 22.557184,114.170256 22.55645,114.16984 22.55625,114.168809 22.556277,114.168257 22.556437,114.167706 22.557711,114.167109 22.558633,114.166494 22.559027,114.166223 22.559053,114.165436 22.558627,114.163428 22.556169,114.162361 22.554455,114.161927 22.552663,114.161673 22.552312,114.161375 22.55217,114.160597 22.552373,114.159621 22.551603,114.158734 22.551831,114.158074 22.551782,114.157495 22.552143,114.157215 22.552136,114.156935 22.551751,114.156719 22.552713,114.155589 22.554614,114.155548 22.556202,114.156468 22.558718,114.157431 22.560344,114.158393 22.561426,114.158686 22.563634,114.16015 22.565569,114.160234 22.566847",0.009741973900863784,0.00479020979020979
9,Dongxiao(Street),"114.137304 22.574548,114.136342 22.574938,114.1345 22.57494,114.128053 22.57394,114.121941 22.573866,114.117249 22.573808,114.117083 22.57759,114.116747 22.579178,114.116245 22.580805,114.115407 22.582703,114.114067 22.584447,114.113229 22.586073,114.112768 22.587546,114.112886 22.590071,114.11636 22.590933,114.117913 22.591693,114.119101 22.590171,114.121111 22.59093,114.12175 22.59093,114.122023 22.588648,114.124765 22.588731,114.126409 22.588137,114.128784 22.589403,114.130336 22.588556,114.130976 22.586696,114.131822 22.585672,114.133455 22.584663,114.135004 22.583964,114.137976 22.583806,114.137974 22.579468,114.13764 22.57606",0.009091062504369545,0.006083916083916084
10,Qingshuihe(Street),"114.117249 22.573808,114.115951 22.573793,114.114695 22.573523,114.104212 22.567406,114.099078 22.565622,114.092338 22.563724,114.090308 22.567429,114.088309 22.569204,114.086309 22.569913,114.084002 22.570124,114.082464 22.569839,114.079694 22.568771,114.07777 22.569408,114.077847 22.57026,114.077155 22.571608,114.075693 22.572601,114.075539 22.574731,114.074539 22.575298,114.074232 22.576646,114.075232 22.578211,114.073385 22.577711,114.072154 22.579769,114.070076 22.580476,114.069999 22.581257,114.068845 22.581184,114.068691 22.582391,114.066921 22.584306,114.066227 22.585725,114.066315 22.588118,114.067871 22.588121,114.067963 22.589557,114.070253 22.591082,114.071718 22.593112,114.073458 22.592522,114.076571 22.594554,114.074923 22.597256,114.075198 22.598185,114.07767 22.598104,114.081332 22.60115,114.084902 22.601068,114.088287 22.599465,114.090209 22.598875,114.091764 22.600059,114.094417 22.599637,114.096795 22.597273,114.098624 22.594908,114.099721 22.594232,114.099721 22.59288,114.102373 22.592373,114.105573 22.589839,114.107584 22.588317,114.109504 22.587895,114.111606 22.589752,114.112886 22.590071,114.112768 22.587546,114.113229 22.586073,114.114067 22.584447,114.115407 22.582703,114.116245 22.580805,114.116747 22.579178,114.117083 22.57759",0.008905432217221187,0.005034965034965035
